,YY,MM,DD,ST,PL,MD,DU,TSP,Q_TSP,SO2,Q_SO2,SO4,Q_SO4,HG,Q_HG,PB,Q_PB,CD,Q_CD,NO2,Q_NO2,NO,Q_NO,Примечание,с  аэрозол,Unnamed: 25,Unnamed: 26,Unnamed: 27,y_m
0,83.0,12.0,6.0,4.0,1.0,1.0,1.0,,,,,,,,,39.2,0.0,0.31,0.0,,,,,,мг/г,,,,1983-12-06
1,83.0,12.0,7.0,4.0,1.0,1.0,1.0,,,,,,,,,53.2,0.0,1.38,0.0,,,,,,,,,,1983-12-07
2,83.0,12.0,8.0,4.0,1.0,1.0,1.0,,,,,,,,,13,0.0,,,,,,,,,,,,1983-12-08
3,83.0,12.0,9.0,4.0,1.0,1.0,1.0,,,,,,,,,10.5,0.0,0.98,0.0,,,,,,,,,,1983-12-09
4,83.0,12.0,10.0,4.0,1.0,1.0,1.0,,,,,,,,,16.4,0.0,0.32,0.0,,,,,,,,,,1983-12-10
5,83.0,12.0,11.0,4.0,1.0,1.0,1.0,,,,,,,,,5.55,0.0,0.36,0.0,,,,,,,,,,1983-12-11
6,83.0,12.0,12.0,4.0,1.0,1.0,1.0,,,,,,,,,9.84,0.0,,,,,,,,,,,,1983-12-12
7,83.0,12.0,13.0,4.0,1.0,1.0,1.0,,,,,,,,,11,0.0,0.48,0.0,,,,,,,,,,1983-12-13
8,83.0,12.0,14.0,4.0,1.0,1.0,1.0,,,,,,,,,18.4,0.0,0.52,0.0,,,,,,,,,,1983-12-14
9,83.0,12.0,15.0,4.0,1.0,1.0,1.0,,,,,,,,,16.1,0.0,0.41,0.0,,,,,,,,,,1983-12-15
10,83.0,12.0,16.0,4.0,1.0,1.0,1.0,,,,,,,,,39.3,0.0,1.18,0.0,,,,,,,,,,1983-12-16
11,83.0,12.0,17.0,4.0,1.0,1.0,1.0,,,,,,,,,19.5,0.0,1.06,0.0,,,,,,,,,,1983-12-17
12,83.0,12.0,18.0,4.0,1.0,1.0,1.0,,,,,,,,,73.5,0.0,1.46,0.0,,,,,,,,,,1983-12-18
13,83.0,12.0,19.0,4.0,1.0,1.0,1.0,,,,,,,,,50.4,0.0,1.3,0.0,,,,,,,,,,1983-12-19
