TSP,SO2,SO4,NO2,date,YY,MM
0.0,0.0,0.0,0.0,1983-12-01,83,12
0.0,0.0,0.0,0.0,1983-01-01,83,1
0.0,0.0,0.0,0.0,1983-02-01,83,2
0.0,0.0,0.0,0.0,1983-03-01,83,3
0.0,0.0,0.0,0.0,1983-04-01,83,4
0.0,0.0,0.0,0.0,1983-05-01,83,5
0.0,0.0,0.0,0.0,1983-06-01,83,6
0.0,0.0,0.0,0.0,1983-07-01,83,7
0.0,0.0,0.0,0.0,1983-08-01,83,8
0.0,0.0,0.0,0.0,1983-09-01,83,9
0.0,0.0,0.0,0.0,1983-10-01,83,10
0.0,0.0,0.0,0.0,1983-11-01,83,11
0.0,0.0,0.0,0.0,1984-12-01,84,12
0.0,0.0,0.0,0.0,1984-01-01,84,1
0.0,0.0,0.0,0.0,1984-02-01,84,2
0.0,0.0,0.0,0.0,1984-03-01,84,3
0.0,0.0,0.0,0.0,1984-04-01,84,4
0.0,0.0,0.0,0.0,1984-05-01,84,5
0.0,0.0,0.0,0.0,1984-06-01,84,6
0.0,0.0,0.0,0.0,1984-07-01,84,7
0.0,0.0,0.0,0.0,1984-08-01,84,8
0.0,0.0,0.0,0.0,1984-09-01,84,9
0.0,0.0,0.0,0.0,1984-10-01,84,10
0.0,0.0,0.0,0.0,1984-11-01,84,11
27.0,0.0,0.0,0.0,1985-12-01,85,12
50.3,0.0,6.260000000000001,0.0,1985-01-01,85,1
22.8625,0.0,6.055555555555555,0.0,1985-02-01,85,2
62.1875,0.0,9.45,0.0,1985-03-01,85,3
66.1,0.0,1.98,0.0,1985-04-01,85,4
87.0,0.0,1.92,0.0,1985-05-01,85,5
76.9090909090909,0.0,1.8454545454545455,0.0,1985-06-01,85,6
63.81818181818182,0.0,1.190909090909091,0.0,1985-07-01,85,7
46.53333333333333,0.0,2.08,0.0,1985-08-01,85,8
37.833333333333336,0.0,0.9500000000000001,0.0,1985-09-01,85,9
34.25,0.0,0.0,0.0,1985-10-01,85,10
25.333333333333332,0.0,0.0,0.0,1985-11-01,85,11
29.066666666666666,7.9870967741935495,2.8534482758620694,0.0,1986-12-01,86,12
33.90909090909091,0.0,6.760000000000001,0.0,1986-01-01,86,1
28.0,0.0,6.586666666666667,0.0,1986-02-01,86,2
47.6,0.0,5.753333333333332,0.0,1986-03-01,86,3
72.66666666666667,0.0,5.391666666666667,0.0,1986-04-01,86,4
88.64285714285714,0.0,3.173333333333334,0.0,1986-05-01,86,5
55.15384615384615,3.290625,4.7185185185185174,0.0,1986-06-01,86,6
70.14814814814815,0.9866666666666667,1.4989285714285714,0.0,1986-07-01,86,7
51.96774193548387,0.6530333333333332,1.8709677419354842,0.0,1986-08-01,86,8
56.77777777777778,0.93,1.181034482758621,0.0,1986-09-01,86,9
35.38260869565217,1.9693548387096778,1.1455172413793109,0.0,1986-10-01,86,10
24.884615384615383,4.446666666666667,2.1466666666666665,0.0,1986-11-01,86,11
28.203703703703702,6.14,6.346428571428571,0.0,1987-12-01,87,12
44.07142857142857,27.925000000000004,7.799999999999998,0.0,1987-01-01,87,1
47.92857142857143,5.885357142857141,6.4325,0.0,1987-02-01,87,2
