date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1983-12-01,0.0,0.0,0.0,0.0,83,12,0.0,0.0,0.0,0.0
1983-01-01,0.0,0.0,0.0,0.0,83,1,0.0,0.0,0.0,0.0
1983-02-01,0.0,0.0,0.0,0.0,83,2,0.0,0.0,0.0,0.0
1983-03-01,0.0,0.0,0.0,0.0,83,3,0.0,0.0,0.0,0.0
1983-04-01,0.0,0.0,0.0,0.0,83,4,0.0,0.0,0.0,0.0
1983-05-01,0.0,0.0,0.0,0.0,83,5,0.0,0.0,0.0,0.0
1983-06-01,0.0,0.0,0.0,0.0,83,6,0.0,0.0,0.0,0.0
1983-07-01,0.0,0.0,0.0,0.0,83,7,0.0,0.0,0.0,0.0
1983-08-01,0.0,0.0,0.0,0.0,83,8,0.0,0.0,0.0,0.0
1983-09-01,0.0,0.0,0.0,0.0,83,9,0.0,0.0,0.0,0.0
1983-10-01,0.0,0.0,0.0,0.0,83,10,0.0,0.0,0.0,0.0
1983-11-01,0.0,0.0,0.0,0.0,83,11,0.0,0.0,0.0,0.0
1984-12-01,0.0,0.0,0.0,0.0,84,12,0.0,0.0,0.0,0.0
1984-01-01,0.0,0.0,0.0,0.0,84,1,0.0,0.0,0.0,0.0
1984-02-01,0.0,0.0,0.0,0.0,84,2,0.0,0.0,0.0,0.0
1984-03-01,0.0,0.0,0.0,0.0,84,3,0.0,0.0,0.0,0.0
1984-04-01,0.0,0.0,0.0,0.0,84,4,0.0,0.0,0.0,0.0
1984-05-01,0.0,0.0,0.0,0.0,84,5,0.0,0.0,0.0,0.0
1984-06-01,0.0,0.0,0.0,0.0,84,6,0.0,0.0,0.0,0.0
1984-07-01,0.0,0.0,0.0,0.0,84,7,0.0,0.0,0.0,0.0
1984-08-01,0.0,0.0,0.0,0.0,84,8,0.0,0.0,0.0,0.0
1984-09-01,0.0,0.0,0.0,0.0,84,9,0.0,0.0,0.0,0.0
1984-10-01,0.0,0.0,0.0,0.0,84,10,0.0,0.0,0.0,0.0
1984-11-01,0.0,0.0,0.0,0.0,84,11,0.0,0.0,0.0,0.0
1985-12-01,27.0,0.0,0.0,0.0,85,12,0.0,0.0,0.0,0.0
1985-01-01,50.3,0.0,6.260000000000001,0.0,85,1,3.2955224388035482,0.0,0.0,0.0
1985-02-01,22.8625,0.0,6.055555555555555,0.0,85,2,0.6218540472347471,0.0,1.8343721836591502,0.0
1985-03-01,62.1875,0.0,9.45,0.0,85,3,-0.7888213414316976,0.0,-0.033011924002996684,0.0
1985-04-01,66.1,0.0,1.98,0.0,85,4,1.0003414761315708,0.0,0.44523062519382317,0.0
1985-05-01,87.0,0.0,1.92,0.0,85,5,0.06070044610476355,0.0,-1.5627258090498297,0.0
1985-06-01,76.9090909090909,0.0,1.8454545454545455,0.0,85,6,0.27442498101294444,0.0,-0.03057987769011672,0.0
1985-07-01,63.81818181818182,0.0,1.190909090909091,0.0,85,7,-0.1235984083392605,0.0,-0.03940758568550784,0.0
1985-08-01,46.53333333333333,0.0,2.08,0.0,85,8,-0.18690039311931006,0.0,-0.4378166935107452,0.0
1985-09-01,37.833333333333336,0.0,0.9500000000000001,0.0,85,9,-0.31618368949437636,0.0,0.5578428509409689,0.0
1985-10-01,34.25,0.0,0.0,0.0,85,10,-0.20729284210102916,0.0,0.0,0.0
1985-11-01,25.333333333333332,0.0,0.0,0.0,85,11,-0.09981848076904498,0.0,0.0,0.0
1986-12-01,29.066666666666666,7.9870967741935495,2.8534482758620694,0.0,86,12,-0.3018801031695886,0.0,-0.7834691273119015,0.0
1986-01-01,33.90909090909091,0.0,6.760000000000001,0.0,86,1,-1.5109191243370348,0.0,1.1000133428486973,0.0
1986-02-01,28.0,0.0,6.586666666666667,0.0,86,2,-0.4683918667622744,0.0,0.8626868591344481,0.0
1986-03-01,47.6,0.0,5.753333333333332,0.0,86,3,0.40901020360848017,0.0,-0.02578341148487695,0.0
1986-04-01,72.66666666666667,0.0,5.391666666666667,0.0,86,4,-0.29576662838993784,0.0,-1.0520701211599761,0.0
1986-05-01,88.64285714285714,0.0,3.173333333333334,0.0,86,5,0.22493038007739585,0.0,-0.03152908854229497,0.0
1986-06-01,55.15384615384615,3.290625,4.7185185185185174,0.0,86,6,0.03525451107055044,2.0772074353668635,-0.9850192584440571,0.0
1986-07-01,70.14814814814815,0.9866666666666667,1.4989285714285714,0.0,86,7,-0.3080273939946032,-0.8873693600652282,1.5953319420874645,0.0
1986-08-01,51.96774193548387,0.6530333333333332,1.8709677419354842,0.0,86,8,0.234081273115609,-1.2051206399560932,-0.5527179319449254,0.0
1986-09-01,56.77777777777778,0.93,1.181034482758621,0.0,86,9,0.1347255505610634,-0.4133244633586725,0.07445588822551619,0.0
1986-10-01,35.38260869565217,1.9693548387096778,1.1455172413793109,0.0,86,10,0.40870922582484503,0.35293622666458674,0.05151815031703605,0.0
1986-11-01,24.884615384615383,4.446666666666667,2.1466666666666665,0.0,86,11,-0.0734807293997326,0.7496568270608444,-0.5622700937448757,0.0
1987-12-01,28.203703703703702,6.14,6.346428571428571,0.0,87,12,-0.038034797685187804,0.8138291265289823,1.1870961958390733,0.0
1987-01-01,44.07142857142857,27.925000000000004,7.799999999999998,0.0,87,1,-0.0037569324782755764,0.3220504511994118,0.4578451907003924,0.0
